P10	video	581
P1000	record held	43
P1001	applies to jurisdiction	7280
P1002	engine configuration	390
P1003	NLR (Romania) identifier	88
P1004	MusicBrainz place ID	2998
P1005	PTBNP identifier	6926
P1006	NTA identifier (Netherlands)	137772
P1007	Lattes Platform number	10
P101	field of work	10684
P1010	Iran statistics ID	8
P1011	excluding	0
P1012	including	8
P1013	criterion used	8
P1014	AAT identifier	4789
P1015	BIBSYS identifier	7171
P1016	asteroid taxonomy	0
P1017	BAV (Vatican Library) identifier	12949
P1018	language regulatory body	101
P1019	feed URL	63
P102	member of political party	185595
P1021	KldB-2010 occupation code	7
P1022	CNO-11 occupation code	2
P1023	SBC-2010 occupation code	3
P1024	SBFI occupation code	3
P1025	SUDOC editions	225
P1026	doctoral thesis	30
P1027	conferred by	1155
P1028	donated by	138
P1029	crew member	1772
P103	native language	45519
P1030	light characteristic of a lighthouse	50
P1031	legal citation of this text	284
P1032	Digital Rights Management system	24
P1033	GHS signal word	19
P1034	main food source	3
P1035	honorific suffix	8
P1036	Dewey Decimal Classification	3956
P1037	manager/director	879
P1038	relative	2805
P1039	type of kinship	4
P1040	film editor	1716
P1041	sockets supported	7
P1042	ZDB identifier	687
P1043	IDEO Job ID	10
P1044	SWB editions	148
P1045	Sycomore ID	14362
P1046	discovery method	40
P1047	Catholic Hierarchy person ID	15136
P1048	NCL identifier	131
P1049	deity of	409
P105	taxon rank	2004332
P1050	medical condition	4307
P1051	PSH ID	4494
P1052	Portuguese Job Code CPP-2010	4
P1053	ResearcherID	173
P1054	NDL editions	28
P1055	NLM Unique ID	45
P1056	product	938
P1057	chromosome	52149
P1058	ERA Journal ID	22501
P1059	CVR	134
P106	occupation	2085634
P1060	pathogen transmission process	8
P1064	track gauge	5245
P1065	archive URL	63
P1066	student of	5014
P1067	Thailand central administrative unit code	7070
P1068	instruction set	56
P1069	Danemark Job Code (DISCO-08)	4
P1070	PlantList-ID	331673
P1071	location of final assembly	1283
P1072	readable file format	94
P1073	writable file format	52
P1074	fictional analog of	281
P1075	rector	141
P1076	ICTV virus ID	365
P1077	KOATUU identifier	27985
P1078	valvetrain configuration	3
P1079	launch contractor	4
P108	employer	98590
P1080	from fictional universe	11488
P1081	Human Development Index	36
P1082	population	82193
P1083	maximum capacity	11615
P1084	EUL editions	5
P1085	LibraryThing work identifier	87
P1086	atomic number	4655
P1087	Elo rating	2705
P1088	Mohs' hardness	49
P109	signature	5342
P1090	redshift	127
P1092	total produced	3374
P1093	gross tonnage	24
P1096	orbital eccentricity	45
P1097	g-factor	2
P1098	777 (Vegetta), number of speakers	867
P1099	number of masts	15
P110	illustrator	2076
P1100	number of cylinders	151
P1101	floors above ground	281
P1102	flattening	5
P1103	number of platform tracks	4181
P1104	number of pages	714
P1106	sandbox-quantity	1
P1107	proportion	1
P1108	electronegativity	20
P1109	refractive index	14
P111	measured physical quantity	210
P1110	attendance	224
P1111	votes received	0
P1112	Pokédex number	734
P1113	series length	923
P1114	quantity	551
P1115	ATVK ID	683
P1116	ELSTAT geographical code	1494
P1117	pKa	6
P112	founder	9237
P1120	number of deaths	592
P1121	oxidation state	157
P1122	spin quantum number	32
