P10	video	0
P1000	record held	0
P1001	applies to jurisdiction	0
P1002	engine configuration	0
P1003	NLR (Romania) identifier	0
P1004	MusicBrainz place ID	0
P1005	PTBNP identifier	0
P1006	NTA identifier (Netherlands)	0
P1007	Lattes Platform number	0
P101	field of work	0
P1010	Iran statistics ID	0
P1011	excluding	0
P1012	including	0
P1013	criterion used	0
P1014	AAT identifier	0
P1015	BIBSYS identifier	0
P1016	asteroid taxonomy	0
P1017	BAV (Vatican Library) identifier	0
P1018	language regulatory body	0
P1019	feed URL	0
P102	member of political party	0
P1021	KldB-2010 occupation code	0
P1022	CNO-11 occupation code	0
P1023	SBC-2010 occupation code	0
P1024	SBFI occupation code	0
P1025	SUDOC editions	0
P1026	doctoral thesis	0
P1027	conferred by	0
P1028	donated by	0
P1029	crew member	0
P103	native language	0
P1030	light characteristic of a lighthouse	0
P1031	legal citation of this text	0
P1032	Digital Rights Management system	0
P1033	GHS signal word	0
P1034	main food source	0
P1035	honorific suffix	0
P1036	Dewey Decimal Classification	0
P1037	manager/director	0
P1038	relative	0
P1039	type of kinship	0
P1040	film editor	0
P1041	sockets supported	0
P1042	ZDB identifier	0
P1043	IDEO Job ID	0
P1044	SWB editions	0
P1045	Sycomore ID	0
P1046	discovery method	0
P1047	Catholic Hierarchy person ID	0
P1048	NCL identifier	0
P1049	deity of	0
P105	taxon rank	0
P1050	medical condition	0
P1051	PSH ID	0
P1052	Portuguese Job Code CPP-2010	0
P1053	ResearcherID	0
P1054	NDL editions	0
P1055	NLM Unique ID	0
P1056	product	0
P1057	chromosome	0
P1058	ERA Journal ID	0
P1059	CVR	0
P106	occupation	0
P1060	pathogen transmission process	0
P1064	track gauge	0
P1065	archive URL	0
P1066	student of	0
P1067	Thailand central administrative unit code	0
P1068	instruction set	0
P1069	Danemark Job Code (DISCO-08)	0
P1070	PlantList-ID	0
P1071	location of final assembly	0
P1072	readable file format	0
P1073	writable file format	0
P1074	fictional analog of	0
P1075	rector	0
P1076	ICTV virus ID	0
P1077	KOATUU identifier	0
P1078	valvetrain configuration	0
P1079	launch contractor	0
P108	employer	0
P1080	from fictional universe	0
P1081	Human Development Index	40
P1082	population	301634
P1083	maximum capacity	11627
P1084	EUL editions	0
P1085	LibraryThing work identifier	0
P1086	atomic number	4655
P1087	Elo rating	2709
P1088	Mohs' hardness	49
P109	signature	0
P1090	redshift	128
P1092	total produced	3380
P1093	gross tonnage	24
P1096	orbital eccentricity	46
P1097	g-factor	2
P1098	777 (Vegetta), number of speakers	869
P1099	number of masts	15
P110	illustrator	0
P1100	number of cylinders	151
P1101	floors above ground	282
P1102	flattening	5
P1103	number of platform tracks	4203
P1104	number of pages	714
P1106	sandbox-quantity	1
P1107	proportion	1
P1108	electronegativity	20
P1109	refractive index	14
P111	measured physical quantity	0
P1110	attendance	224
P1111	votes received	0
P1112	Pokédex number	2927
P1113	series length	926
P1114	quantity	729
P1115	ATVK ID	0
P1116	ELSTAT geographical code	0
P1117	pKa	6
P112	founder	0
P1120	number of deaths	605
P1121	oxidation state	158
P1122	spin quantum number	32
P1123	parity	4
P1124	TEU	3
P1125	Gini coefficient	16
P1126	isospin quantum number	25
P1127	isospin z-component	25
P1128	employees	2383
P1129	national team caps	0
P113	airline hub	0
P1132	number of participants	888
P1133	DGO4 identifier	0
P1135	nomenclatural status	0
P1136	solved by	0
P1137	fossil found in this unit	0
P1138	Kunstindeks Danmark Artist ID	0
P1139	floors below ground	41
P114	airline alliance	0
P1140	EHAK id	0
P1141	number of processor cores	5
P1142	political ideology	0
P1143	BN (Argentine) editions	0
P1144	LCOC LCCN (bibliographic)	0
P1145	Lagrangian point	0
P1146	IAAF ID	0
P1148	neutron number	4501
P1149	Library of Congress Classification	0
P115	home venue	0
P1150	Regensburg Classification	0
P1151	topic's main Wikimedia portal	0
P1152	IPTC Media Topic	0
P1153	Scopus Author ID	0
P1154	Scopus EID	0
P1155	Scopus Affiliation ID	0
P1156	Scopus Source ID	0
P1157	US Congress Bio identifier	0
P1158	location of landing	0
P1159	CODEN	0
P1160	ISO 4 abbreviation	0
P1161	Z39.5 abbreviation	0
P1162	Bluebook abbreviation	0
P1163	Internet media type	0
P1164	cardinality of the group	9
P1165	home world	0
P1167	USB ID	0
P1168	municipality code (Denmark)	0
P117	chemical structure	0
P1170	transmitted signal	0
P1171	approximation algorithm	0
P1172	Geokod	0
P1174	visitors per year	1153
P118	league	0
P1181	numeric value	10163
P1182	LIBRIS editions	0
P1183	Gewässerkennzahl	0
P1184	handle	0
P1185	Rodovid ID	0
P1186	MEP directory identifier	0
P1187	Dharma Drum Buddhist College person ID	0
P1188	Dharma Drum Buddhist College place ID	0
P1189	Chinese Library Classification	0
P119	place of burial	0
P1190	Universal Decimal Classification	0
P1191	first performance	1503
P1192	connecting service	0
P1193	prevalence	39
P1194	received signal	0
P1195	file extension	0
P1196	manner of death	0
P1198	unemployment rate	30
P1199	mode of inheritance	0
P1200	bodies of water basin category	0
P1201	space tug	0
P1202	carries scientific instrument	0
P1203	Finnish municipality number	0
P1204	Wikimedia portal's main topic	0
P1207	NUKAT (WarsawU) authorities	0
P1208	ISMN	0
P1209	CN	0
P121	item operated	0
P1210	supercharger	0
P1211	fuel system	0
P1212	Atlas ID	0
P1213	NLC authorities	0
P1214	Riksdagen person-id	0
P1215	apparent magnitude	178
P1216	National Heritage List for England number	0
P1217	Internet Broadway Database venue ID	0
P1218	Internet Broadway Database production ID	0
P1219	Internet Broadway Database show ID	0
P122	basic form of government	0
P1220	Internet Broadway Database person ID	0
P1221	compressor type	0
P1222	NARA person ID	0
P1223	NARA organization ID	0
P1224	NARA geographic ID	0
P1225	NARA topical subject ID	0
P1226	NARA specific records type ID	0
P1227	astronomical filter	0
P1229	Openpolis ID	0
P123	publisher	0
P1230	JSTOR journal code	0
P1231	NARA catalog record ID	0
P1232	Linguist list code	0
P1233	ISFDB author ID	0
P1234	ISFDB publication ID	0
P1235	ISFDB series ID	0
P1236	Parsons code	0
P1237	Box Office Mojo film ID	0
P1238	Swedish Football Association ID	0
P1239	ISFDB publisher ID	0
P1240	Danish Bibliometric Research Indicator level	0
P1241	Swiss Football Association Club Number	0
P1242	Theatricalia play ID	0
P1243	International Standard Recording Code	0
P1244	phone number (URL)	0
P1245	OmegaWiki Defined Meaning	0
P1246	patent number	0
P1247	compression ratio	7
P1248	KulturNav-id	0
P1249	time of earliest written record	245
P1250	Danish Bibliometric Research Indicator (BFI) SNO/CNO	0
P1251	ABS ASCL code	0
P1252	AUSTLANG code	0
P1253	BCU Ecrivainsvd	0
P1254	Slovenska biografija ID	0
P1255	Helveticarchives ID	0
P1256	Iconclass notation	0
P1257	depicts Iconclass notation	0
P1258	Rotten Tomatoes identifier	0
