Sys.Date..	text
2015-10-17	1121470
2015-10-18	"1120407"
2015-10-20	"1120855"
2015-10-21	"1121286"
2015-10-22	"1121431"
2015-10-23	"1121808"
2015-10-24	"1122034"
2015-10-25	"1122645"
2015-10-26	"1122971"
2015-10-27	"1123662"
2015-10-28	"1124576"
2015-10-29	"1124936"
2015-10-30	"1125247"
2015-10-31	"1125722"
2015-11-01	"1126165"
2015-11-02	"1126650"
2015-11-03	"1127176"
2015-11-04	"1127749"
2015-11-05	"1128253"
2015-11-06	"1128698"
2015-11-07	"1151091"
2015-11-08	"1225361"
2015-11-09	"1225484"
2015-11-10	"1226018"
